energy (eV),scatter (barn),capture (barn),total (barn)
2790900.0,1.6875,0.0001758615,2.49308981
2797500.0,1.7622,0.0001757473,2.55978467
2800000.0,1.7906,0.0001757041,2.5851524
2811800.0,1.9281,0.0001755,2.70456722
2814700.0,1.9443,0.0001754499,2.71632258
2819900.0,1.9726,0.00017536,2.73665287
2820000.0,1.9725,0.0001753582,2.73639956
2823700.0,1.9474,0.0001752942,2.70835451
2828000.0,1.918,0.0001752199,2.67572407
2830000.0,1.8861,0.0001751853,2.64232146
2840000.0,1.7226,0.0001750124,2.47569004
2841000.0,1.7062,0.0001749951,2.4589661
2843785.22,1.776911,0.0001749469,2.52877503
2845900.0,1.8306,0.0001749146,2.5817791
2860000.0,1.7234,0.0001746995,2.47001253
2860500.0,1.7192,0.0001746919,2.46618474
2880000.0,1.748,0.0001743944,2.50950196
2883300.0,1.7521,0.000174344,2.51676681
2894600.0,1.6618,0.0001741716,2.43730378
2906800.0,1.7007,0.0001739855,2.4879039
2907400.0,1.7079,0.0001739764,2.49567933
2912700.0,1.7793,0.0001738955,2.56413623
2920000.0,1.8813,0.0001737841,2.65825125
2924700.0,1.9467,0.0001737124,2.71898818
2941800.0,1.4726,0.0001734515,2.22792245
2943700.0,1.5013,0.0001734225,2.25473743
2950000.0,1.6004,0.0001733264,2.34351755
2952300.0,1.6349,0.0001732913,2.37588373
2972600.0,1.708,0.0001729816,2.4301506
2980300.0,1.5946,0.0001728642,2.30960692
2981600.0,1.5755,0.0001728443,2.28930901
2994600.0,1.6046,0.000172646,2.30643009
3000000.0,1.6108,0.0001725636,2.31364409
3003500.0,1.6151,0.0001725102,2.31819843
3020000.0,1.4105,0.0001722585,2.11479744
3032800.0,1.2401,0.0001720632,1.95697575
3043300.0,1.2154,0.000171903,1.94259387
3064500.0,0.92011,0.0001715795,1.66813671
3066100.0,0.90999,0.0001715551,1.65958904
3070000.0,0.88537,0.0001714956,1.63880148
3076700.0,0.84273,0.0001713934,1.60310538
3083400.0,0.84208,0.0001712912,1.60939928
3092100.0,0.83816,0.0001711585,1.61759301
3096974.25,0.8911693,0.0001710841,1.67738901
3098600.0,0.90885,0.0001710624,1.69733337
3099700.0,0.92079,0.0001710478,1.71075658
3100000.0,0.92437,0.0001710438,1.71449585
3112400.0,1.07,0.0001708785,1.866709
3113900.0,1.082,0.0001708585,1.87950536
3120000.0,1.13,0.0001707771,1.93158396
3144100.0,1.3199,0.0001704558,2.13759783
3153800.0,1.5562,0.0001703265,2.38038353
3155500.0,1.5982,0.0001703039,2.42288063
3157500.0,1.5599,0.0001702772,2.38516546
3166800.0,1.3818,0.0001701532,2.20978481
3176600.0,1.6894,0.0001700226,2.52025033
3180000.0,1.7251,0.0001699772,2.55694455
3182300.0,1.7493,0.0001699466,2.58181708
3185000.0,1.6726,0.0001699106,2.50590656
3194500.0,1.4013,0.0001697839,2.23869056
3197200.0,1.3768,0.0001697479,2.21535127
3201500.0,1.3366,0.0001696906,2.17825534
3208300.0,1.2721,0.0001696,2.11945852
3213400.0,1.336,0.000169532,2.18763598
3215600.0,1.3654,0.0001695026,2.21706664
3224500.0,1.4844,0.000169384,2.33619041
3230000.0,1.4767,0.0001693107,2.32856694
3243200.0,1.4581,0.0001691347,2.31015054
3253000.0,1.4427,0.0001690041,2.29650161
3261900.0,1.5783,0.0001688854,2.43369179
3267600.0,1.5809,0.0001688094,2.43731035
3270000.0,1.5394,0.0001687774,2.39623914
3279000.0,1.3839,0.0001686574,2.24234727
3292300.0,1.2799,0.0001684801,2.14072364
3296300.0,1.2484,0.0001684268,2.11022312
3301700.0,1.2053,0.0001683548,2.06898374
3312300.0,1.1475,0.0001682135,2.01483608
3320000.0,1.1983,0.0001681108,2.06828917
3325300.0,1.2333,0.0001680402,2.10511533
3332600.0,1.3834,0.0001679429,2.25773058
3336700.0,1.4663,0.0001678882,2.34355062
3347200.0,1.6646,0.0001677482,2.54932851
3360200.0,1.5867,0.0001675749,2.48068695
3371600.0,1.8422,0.0001674229,2.74430581
3376800.0,1.8316,0.0001673536,2.73740924
3379700.0,1.8256,0.000167315,2.73347451
3389800.0,1.5523,0.0001671803,2.46736759
3391100.0,1.5173,0.000167163,2.43304332
3391900.0,1.4959,0.0001671523,2.41205916
3393300.0,1.4786,0.0001671337,2.39548692
3397300.0,1.4306,0.0001670803,2.34803245
3400000.0,1.3981,0.0001670443,2.31615026
3404100.0,1.3486,0.0001669897,2.26758855
3416300.0,1.3964,0.000166827,2.31818049
3446400.0,1.2378,0.0001664258,2.16646894
3483700.0,1.5507,0.0001659285,2.48790505
3490000.0,1.529958,0.0001658445,2.4686048
3494300.0,1.5158,0.0001657872,2.45543082
3495800.0,1.5165,0.0001657672,2.45647412
3497100.0,1.5178,0.0001657498,2.45763523
3500000.0,1.5208,0.0001657112,2.45998093
3506000.0,1.5269,0.0001656312,2.46472692
3517000.0,1.5337,0.0001654846,2.47349413
3519644.4499999997,1.559397,0.0001654493,2.49966412
3535400.0,1.7125,0.0001652706,2.65558491
3545200.0,1.7945,0.0001651594,2.73933754
3556000.0,1.804,0.0001650369,2.75076904
3568600.0,1.595,0.0001648939,2.54402265
3576600.0,1.4623,0.0001648032,2.41280813
3588500.0,1.3301,0.0001646682,2.28281801
3600000.0,1.3564,0.0001645377,2.31125357
3617000.0,1.3955,0.0001643449,2.35351047
3636200.0,1.4537,0.0001641271,2.4014376
3636600.0,1.4592,0.0001641225,2.4067236
3638500.0,1.4861,0.000164101,2.43324547
3650300.0,1.6523,0.0001639671,2.59766945
3662200.0,1.4403,0.0001638321,2.38387851
3677400.0,1.5148,0.0001636597,2.45609071
3684600.0,1.6303,0.000163578,2.57050713
3686900.0,1.6679,0.0001635519,2.60703545
3691400.0,1.7439,0.0001635009,2.67865285
3705500.0,1.824,0.0001633409,2.74502046
3712000.0,1.5819,0.0001632672,2.49658984
3717200.0,1.6309,0.0001632082,2.54052548
3731500.0,1.7757,0.0001630459,2.66122828
3743800.0,1.4259,0.0001629064,2.2907012
3745600.0,1.374,0.000162886,2.23653572
3750000.0,1.3612,0.0001628361,2.21819787
3753200.0,1.3518,0.0001627998,2.20477019
3754800.0,1.3755,0.0001627816,2.2264565
3754820.0,1.375795,0.0001627814,2.22672637
3762000.0,1.4818,0.000165132314,2.323697
3763800.0,1.5089,0.000165721712,2.3479609
3767300.0,1.5595,0.000166867729,2.39540921
3770000.0,1.5371,0.000167751825,2.37057789
3774100.0,1.5032,0.000169094308,2.33298589
3784600.0,1.4098,0.00017253236,2.23690132
3784700.0,1.4097,0.00017256504,2.23677569
3786600.0,1.4128,0.00017318721,2.23950726
3789600.0,1.4177,0.00017416944,2.24382563
3796500.0,1.4264,0.0001764288,2.25389852
3800700.0,1.3789,0.00017780396,2.20723427
3809500.0,1.2783,0.00018068539,2.10934778
3838800.0,1.2952,0.00019027914,2.13528242
3840000.0,1.2555,0.00019067207,2.09595236
3841500.0,1.2057,0.00019116323,2.0466149
3847500.0,1.0059,0.00019312779,1.84938292
3850000.0,1.0083,0.00019394633,1.85285298
3856100.0,1.0139,0.00019594367,1.86106384
3871300.0,1.2701,0.00020092067,2.12376959
3888600.0,0.89874,0.0002065853,1.75981409
3900000.0,0.95825,0.00021031795,1.82420341
3901400.0,0.96563,0.00021077634,1.83210519
3906000.0,0.9904,0.00021228261,1.85818681
3907000.0,0.99567,0.00021260998,1.86380887
3914600.0,1.2791,0.00021509848,2.1499143
3930900.0,1.1231,0.00022043564,1.99965257
3963400.0,1.4237,0.00023107717,2.31169363
3986100.0,1.3781,0.00023850989,2.27408486
4000000.0,1.4021,0.00024306118,2.30297805
4001000.0000000005,1.4038,0.00024339996,2.30503027
4005600.0000000005,1.4118,0.00024495833,2.31456129
4007600.0,1.3829,0.00024563588,2.28632691
4015399.9999999995,1.2702,0.00024827834,2.1759094
4025100.0,1.3512,0.00025156447,2.25974785
4035599.9999999995,1.2498,0.00025512162,2.16142027
4035622.0,1.249588,0.00025512907,2.1612147
4040000.0,1.2074,0.000258840935,2.12030998
4050000.0,1.1108,0.000267319365,2.02664125
4050200.0000000005,1.1089,0.000267598979,2.02480008
4050236.0,1.108542,0.000267649305,2.02445261
4056600.0000000005,1.0453,0.00027654591,1.96499777
4062000.0000000005,1.0294,0.00028409487,1.95231135
4065200.0,1.0201,0.00028856828,1.94465538
4088000.0,1.4304,0.00032044171,2.36666946
4097699.9999999995,1.4515,0.00033400186,2.39275308
4099999.9999999995,1.4212,0.00033721711,2.36363479
4104000.0,1.3697,0.00034280898,2.31343528
4104199.9999999995,1.367,0.0003430886,2.31073974
4125200.0000000005,1.1115,0.0003724456,2.04644967
4152999.9999999995,0.77299,0.00041130887,1.69630334
4173600.0000000005,0.90581,0.00044010675,1.82050078
4187599.9999999995,1.1342,0.00045967808,2.04303063
4200000.0,1.4357,0.00047701271,2.33934037
4206100.0,1.5843,0.00048554032,2.48499062
4212600.0,1.6308,0.00049462696,2.52834739
4232900.0,1.3375,0.0005230055,2.22523082
4236400.0,1.2863,0.0005278984,2.17297671
4254800.0,1.341,0.0005536207,2.22213565
4272200.0,1.2942,0.0005779452,2.17009567
4284100.0,1.4827,0.0005945808,2.35501197
4287300.0,1.4875,0.0005990543,2.35884836
4298200.0,1.502,0.000614292,2.37215081
4300000.0,1.5218,0.0006168083,2.39175299
4316600.0,1.7023,0.0006400144,2.57169105
